Financial Year,Reporting Period,Activity Month,Organisation breakdown,Org Code,Org Name,Region Code,Region Name,Specific acute specialties: Ordinary Elective,Specific acute specialties: Daycase Elective,Specific acute specialties: Elective total,Specific acute specialties: Non-Elective,Specific acute specialties: First attendances seen - GP referrals,Specific acute specialties: First attendances seen - other referrals,Specific acute specialties: First attendances seen total,Specific acute specialties: First attendances DNA,Specific acute specialties: Subsequent attendances seen,Specific acute specialties: Subsequent attendances DNA,All specialties: Ordinary Elective,All specialties: Daycase Elective,All specialties: Elective total,All specialties: Non-Elective,All specialties: First attendances seen - GP referrals,All specialties: First attendances seen - other referrals,All specialties: First attendances seen total,All specialties: First attendances DNA,All specialties: Subsequent attendances seen,All specialties: Subsequent attendances DNA
2020-21,4,Apr-20,Region of CCG,-,-,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,4345,30375,34720,58440,53590,66765,120355,7155,328625,18855,4660,30380,35035,73660,56535,77800,134330,7785,384310,25250
2020-21,4,Apr-20,Region of CCG,-,-,Y99,-,20,115,135,290,615,515,1130,80,1900,130,25,120,140,440,635,630,1265,85,2100,140
2020-21,4,May-20,Region of CCG,-,-,Y56,LONDON COMMISSIONING REGION,6010,22515,28530,56425,70615,110205,180820,14910,369395,30320,6945,22720,29665,76810,74160,124210,198370,16500,451090,38825
2020-21,4,May-20,Region of CCG,-,-,Y58,SOUTH WEST COMMISSIONING REGION,4495,23055,27550,46090,34955,41275,76230,4320,194225,9070,4785,23080,27865,54075,36290,46720,83010,4700,211080,10100
2020-21,4,May-20,Region of CCG,-,-,Y59,SOUTH EAST COMMISSIONING REGION,7975,25450,33425,67905,76695,94885,171580,9080,342370,17510,8215,25485,33700,78855,82375,109410,191785,10225,389515,19520
2020-21,4,May-20,Region of CCG,-,-,Y60,MIDLANDS COMMISSIONING REGION,7635,40085,47720,85205,76440,84175,160610,9425,400270,20735,7900,40100,48000,102110,82880,93280,176160,10580,460050,24550
2020-21,4,May-20,Region of CCG,-,-,Y61,EAST OF ENGLAND COMMISSIONING REGION,3960,22670,26625,49800,49725,56225,105950,5480,219835,11690,4155,22700,26855,58625,51475,61755,113235,5760,239550,12610
2020-21,4,May-20,Region of CCG,-,-,Y62,NORTH WEST COMMISSIONING REGION,4105,22095,26200,66030,50155,61725,111880,6870,326805,16735,4270,22105,26370,79595,51475,71680,123155,8165,370725,20885
2020-21,4,May-20,Region of CCG,-,-,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,5305,34330,39635,70055,55930,78040,133965,7275,342310,19310,5635,34345,39975,86695,58560,88525,147085,7765,396865,25610
2020-21,4,May-20,Region of CCG,-,-,Y99,-,30,150,180,355,760,650,1410,85,1920,125,40,150,185,505,790,735,1520,90,2185,135
2020-21,4,Jun-20,Region of CCG,-,-,Y56,LONDON COMMISSIONING REGION,8530,35265,43795,64170,90655,157275,247930,20820,499675,41200,9510,35565,45075,84380,94795,173120,267915,22635,585700,49540
2020-21,4,Jun-20,Region of CCG,-,-,Y58,SOUTH WEST COMMISSIONING REGION,6150,34320,40470,50865,47720,57385,105105,6010,249455,12405,6460,34345,40805,58835,49155,63395,112550,6470,268505,13625
2020-21,4,Jun-20,Region of CCG,-,-,Y59,SOUTH EAST COMMISSIONING REGION,10715,40395,51110,74350,102060,128240,230305,11960,437485,23745,10965,40425,51390,85040,108480,144870,253350,13365,492520,25730
2020-21,4,Jun-20,Region of CCG,-,-,Y60,MIDLANDS COMMISSIONING REGION,10415,56135,66550,95295,105920,114810,220730,13345,519250,29285,10715,56160,66875,112275,112995,126490,239480,14780,588265,34070
2020-21,4,Jun-20,Region of CCG,-,-,Y61,EAST OF ENGLAND COMMISSIONING REGION,5755,33635,39390,54915,67975,75320,143295,8445,296590,17040,6000,33680,39680,63835,69750,81855,151605,8820,316175,18145
2020-21,4,Jun-20,Region of CCG,-,-,Y62,NORTH WEST COMMISSIONING REGION,5660,32670,38330,70970,70730,88220,158950,11055,434080,24595,5840,32690,38530,85665,72570,100300,172865,12585,484710,29610
2020-21,4,Jun-20,Region of CCG,-,-,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,7340,49650,56995,76300,80340,101895,182235,10460,443460,26785,7660,49665,57325,92585,83455,113555,197010,11160,506875,34125
2020-21,4,Jun-20,Region of CCG,-,-,Y99,-,55,255,310,420,1025,915,1940,125,2590,215,65,255,320,580,1050,1020,2070,125,2835,225
2020-21,4,Jul-20,Region of CCG,-,-,Y56,LONDON COMMISSIONING REGION,11710,47100,58810,69825,95850,170390,266240,23260,549125,49915,12805,47420,60225,91715,100415,186640,287055,25150,639175,59185
2020-21,4,Jul-20,Region of CCG,-,-,Y58,SOUTH WEST COMMISSIONING REGION,7985,43405,51390,54635,52840,66260,119100,7335,260265,14190,8350,43450,51800,62940,54380,72445,126825,7825,279735,15575
2020-21,4,Jul-20,Region of CCG,-,-,Y59,SOUTH EAST COMMISSIONING REGION,14375,53790,68165,80835,108900,137190,246085,12995,470375,27660,14700,53820,68520,91960,116395,154475,270865,14380,527480,29920
2020-21,4,Jul-20,Region of CCG,-,-,Y60,MIDLANDS COMMISSIONING REGION,13340,71865,85205,104770,118490,128310,246805,16275,545610,35625,13645,71885,85530,122620,125790,140525,266310,17870,614870,40685
2020-21,4,Jul-20,Region of CCG,-,-,Y61,EAST OF ENGLAND COMMISSIONING REGION,7770,43625,51390,60840,73505,88195,161700,9980,322365,19990,8030,43700,51730,70520,75495,94560,170050,10385,345655,21255
2020-21,4,Jul-20,Region of CCG,-,-,Y62,NORTH WEST COMMISSIONING REGION,7670,45170,52840,76370,77540,90130,167670,13295,465530,30150,7890,45200,53090,91210,79250,102760,182010,15050,516940,35525
2020-21,4,Jul-20,Region of CCG,-,-,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,10110,63870,73980,81520,96755,115145,211900,12955,481800,31980,10485,63890,74375,98665,100065,127760,227830,13780,547380,39980
2020-21,4,Jul-20,Region of CCG,-,-,Y99,-,75,385,465,485,995,1105,2100,165,2725,240,85,385,475,625,1030,1215,2245,170,3010,255
2020-21,4,Apr-20,Region of Provider,-,-,Y56,LONDON COMMISSIONING REGION,5995,20015,26010,50860,62910,103300,166205,15055,401445,33205,6975,20235,27215,69930,66835,117400,184235,17005,490615,43500
2020-21,4,Apr-20,Region of Provider,-,-,Y58,SOUTH WEST COMMISSIONING REGION,3270,19045,22315,37220,30485,34510,64995,4075,173695,8080,3540,19065,22605,44835,31730,40035,71765,4465,190530,8995
2020-21,4,Apr-20,Region of Provider,-,-,Y59,SOUTH EAST COMMISSIONING REGION,6250,18150,24400,53760,64755,73855,138615,7875,298735,14570,6595,18180,24775,64000,70230,87880,158115,9200,344805,16645
2020-21,4,Apr-20,Region of Provider,-,-,Y60,MIDLANDS COMMISSIONING REGION,6155,32495,38650,70345,60075,64575,124650,8890,350505,19360,6390,32500,38890,85780,66270,72735,139005,10075,410185,23280
2020-21,4,Apr-20,Region of Provider,-,-,Y61,EAST OF ENGLAND COMMISSIONING REGION,2175,19440,21615,42150,38140,41120,79260,4405,191325,9805,2325,19445,21770,50175,39750,46090,85840,4775,207480,10825
2020-21,4,Apr-20,Region of Provider,-,-,Y62,NORTH WEST COMMISSIONING REGION,3420,18070,21495,55300,41965,49250,91215,6240,307755,16015,3565,18080,21645,68355,43265,59055,102320,7490,352000,20420
2020-21,4,Apr-20,Region of Provider,-,-,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,4465,31245,35710,59105,54650,68145,122795,7310,337455,19305,4785,31250,36035,74465,57655,79260,136920,7940,393115,25675
2020-21,4,May-20,Region of Provider,-,-,Y56,LONDON COMMISSIONING REGION,8155,26125,34275,59435,73980,124770,198750,16040,441860,34530,9150,26355,35500,80675,77615,139610,217225,17660,531755,43465
2020-21,4,May-20,Region of Provider,-,-,Y58,SOUTH WEST COMMISSIONING REGION,4335,23310,27645,46955,35355,40600,75955,4310,192030,8905,4625,23335,27960,55075,36710,46005,82715,4690,208765,9930
2020-21,4,May-20,Region of Provider,-,-,Y59,SOUTH EAST COMMISSIONING REGION,7295,23765,31055,66360,75655,90780,166435,8650,309235,15575,7575,23800,31370,77190,81505,105560,187065,9825,354980,17490
2020-21,4,May-20,Region of Provider,-,-,Y60,MIDLANDS COMMISSIONING REGION,7375,38200,45575,82480,73490,79865,153350,9005,378770,19830,7620,38215,45835,99005,79855,88685,168540,10140,438430,23650
2020-21,4,May-20,Region of Provider,-,-,Y61,EAST OF ENGLAND COMMISSIONING REGION,2850,21535,24385,49390,49325,49880,99210,5095,195320,10275,2980,21540,24525,57665,50865,54615,105480,5330,208660,10895
2020-21,4,May-20,Region of Provider,-,-,Y62,NORTH WEST COMMISSIONING REGION,4105,22145,26250,66245,50505,61885,112390,6885,328305,16600,4270,22150,26420,79840,51815,71925,123740,8180,372300,20750
2020-21,4,May-20,Region of Provider,-,-,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,5405,35270,40680,71010,56960,79400,136360,7465,351610,19785,5720,35285,41010,87820,59650,89910,149560,7965,406165,26050
2020-21,4,Jun-20,Region of Provider,-,-,Y56,LONDON COMMISSIONING REGION,11660,40335,51995,67615,94470,177955,272430,22400,597055,47230,12670,40675,53345,88645,98765,194840,293605,24270,689740,55965
2020-21,4,Jun-20,Region of Provider,-,-,Y58,SOUTH WEST COMMISSIONING REGION,5920,34630,40550,51845,48575,56780,105355,6070,246525,12145,6235,34655,40890,60010,50000,62710,112710,6530,265380,13355
2020-21,4,Jun-20,Region of Provider,-,-,Y59,SOUTH EAST COMMISSIONING REGION,9640,38035,47670,72595,100850,121640,222490,11210,392605,20815,9935,38050,47985,83235,107420,138510,245930,12635,446165,22775
2020-21,4,Jun-20,Region of Provider,-,-,Y60,MIDLANDS COMMISSIONING REGION,9905,53295,63200,92350,102315,108650,210965,12915,492125,28040,10200,53315,63515,108895,109350,119995,229345,14325,560955,32840
2020-21,4,Jun-20,Region of Provider,-,-,Y61,EAST OF ENGLAND COMMISSIONING REGION,4325,32335,36660,54435,67295,66745,134035,7905,264265,15140,4515,32345,36860,62785,68815,72340,141160,8220,279255,15920
2020-21,4,Jun-20,Region of Provider,-,-,Y62,NORTH WEST COMMISSIONING REGION,5635,32650,38290,71175,71315,88505,159820,11065,436185,24495,5820,32670,38485,85875,73145,100670,173815,12600,486765,29505
2020-21,4,Jun-20,Region of Provider,-,-,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,7540,51050,58590,77280,81600,103795,185395,10655,453830,27395,7850,51070,58920,93745,84750,115540,200290,11355,517330,34715
2020-21,4,Jul-20,Region of Provider,-,-,W00,NHS WALES INFORMATICS SERVICE,0,0,0,0,*,0,*,0,0,0,0,0,0,0,*,0,*,0,0,0
2020-21,4,Jul-20,Region of Provider,-,-,Y56,LONDON COMMISSIONING REGION,15910,54210,70120,73515,99620,192040,291665,25075,653765,57185,17050,54605,71655,96610,104425,209410,313835,27000,753590,66980
2020-21,4,Jul-20,Region of Provider,-,-,Y58,SOUTH WEST COMMISSIONING REGION,7775,43875,51650,56050,53810,65950,119765,7500,257655,13965,8140,43915,52055,64515,55345,72095,127440,7990,276985,15340
2020-21,4,Jul-20,Region of Provider,-,-,Y59,SOUTH EAST COMMISSIONING REGION,12715,50405,63120,78875,107690,130570,238260,12085,423120,24270,13085,50430,63515,89720,115390,148110,263505,13530,478735,26440
2020-21,4,Jul-20,Region of Provider,-,-,Y60,MIDLANDS COMMISSIONING REGION,12600,68105,80705,101540,114325,121365,235690,15785,516920,34125,12895,68120,81015,118960,121585,133185,254770,17360,585755,39170
2020-21,4,Jul-20,Region of Provider,-,-,Y61,EAST OF ENGLAND COMMISSIONING REGION,6015,41735,47750,60235,73250,79310,152555,9400,286545,17535,6215,41745,47960,69220,74850,84680,159535,9725,302275,18395
2020-21,4,Jul-20,Region of Provider,-,-,Y62,NORTH WEST COMMISSIONING REGION,7660,45370,53030,76700,78220,90135,168355,13280,468060,30050,7880,45395,53280,91590,79935,102850,182785,15050,519535,35440
2020-21,4,Jul-20,Region of Provider,-,-,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,10350,65520,75870,82365,97955,117355,215310,13130,491720,32620,10725,65535,76260,99645,101285,130040,231325,13955,557375,40625
2020-21,4,Apr-20,CCG,00L,NHS NORTHUMBERLAND CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,175,1805,1985,2830,1505,2510,4015,250,14030,705,180,1805,1985,3270,1710,3840,5555,275,18675,1860
2020-21,4,Apr-20,CCG,00N,NHS SOUTH TYNESIDE CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,75,565,640,1270,1265,1200,2465,195,6940,365,85,565,650,1485,1340,1555,2895,200,7745,440
2020-21,4,Apr-20,CCG,00P,NHS SUNDERLAND CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,180,1205,1385,2595,2480,2215,4695,330,12210,760,185,1205,1390,2955,2545,3010,5550,350,15670,1840
2020-21,4,Apr-20,CCG,00Q,NHS BLACKBURN WITH DARWEN CCG,Y62,NORTH WEST COMMISSIONING REGION,140,430,570,1285,1180,1220,2400,240,7085,410,140,430,575,1555,1245,1415,2660,270,7935,515
2020-21,4,Apr-20,CCG,00R,NHS BLACKPOOL CCG,Y62,NORTH WEST COMMISSIONING REGION,105,690,795,1225,900,865,1765,155,6405,415,105,695,800,1480,900,1035,1940,160,6945,455
2020-21,4,Apr-20,CCG,00T,NHS BOLTON CCG,Y62,NORTH WEST COMMISSIONING REGION,135,565,700,1810,1265,1180,2445,215,10280,625,135,565,705,2595,1270,1335,2605,265,11390,760
2020-21,4,Apr-20,CCG,00V,NHS BURY CCG,Y62,NORTH WEST COMMISSIONING REGION,95,500,590,1260,1440,1325,2765,100,7305,275,95,500,595,1660,1445,1575,3020,120,8110,385
2020-21,4,Apr-20,CCG,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,Y62,NORTH WEST COMMISSIONING REGION,125,550,670,1165,1115,915,2030,155,8820,470,125,550,670,1250,1155,1005,2160,160,9580,555
2020-21,4,Apr-20,CCG,00Y,NHS OLDHAM CCG,Y62,NORTH WEST COMMISSIONING REGION,120,595,710,1760,2010,2075,4085,160,11315,460,120,595,715,2115,2020,2650,4670,195,12925,655
2020-21,4,Apr-20,CCG,01A,NHS EAST LANCASHIRE CCG,Y62,NORTH WEST COMMISSIONING REGION,255,1110,1360,2510,2875,2680,5555,435,17555,795,255,1110,1365,3140,2970,3100,6075,505,19120,935
2020-21,4,Apr-20,CCG,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",Y62,NORTH WEST COMMISSIONING REGION,100,590,690,1465,1840,1590,3430,180,9475,490,100,595,690,1745,1865,2100,3965,200,10915,575
2020-21,4,Apr-20,CCG,01E,NHS GREATER PRESTON CCG,Y62,NORTH WEST COMMISSIONING REGION,130,500,630,1335,1050,1025,2075,185,9225,575,130,500,630,1425,1090,1120,2210,195,9995,675
2020-21,4,Apr-20,CCG,01F,NHS HALTON CCG,Y62,NORTH WEST COMMISSIONING REGION,65,290,355,1025,825,920,1745,215,7140,380,65,290,355,1260,825,1015,1840,220,7560,400
2020-21,4,Apr-20,CCG,01G,NHS SALFORD CCG,Y62,NORTH WEST COMMISSIONING REGION,130,695,825,1980,1515,1340,2860,245,10315,590,135,695,830,2825,1550,1760,3310,290,14020,970
2020-21,4,Apr-20,CCG,01H,NHS NORTH CUMBRIA CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,105,1250,1355,1900,2635,2130,4765,345,12045,930,110,1250,1360,2375,2645,2235,4880,355,12750,970
2020-21,4,Apr-20,CCG,01J,NHS KNOWSLEY CCG,Y62,NORTH WEST COMMISSIONING REGION,55,360,415,1760,735,1630,2365,150,7505,465,55,360,415,2110,765,1960,2725,225,8240,535
2020-21,4,Apr-20,CCG,01K,NHS MORECAMBE BAY CCG,Y62,NORTH WEST COMMISSIONING REGION,145,860,1005,2480,1570,1805,3375,215,9425,660,150,860,1010,2665,1605,1945,3550,225,10435,730
2020-21,4,Apr-20,CCG,01T,NHS SOUTH SEFTON CCG,Y62,NORTH WEST COMMISSIONING REGION,50,355,405,1795,715,1555,2270,135,7810,400,60,355,410,2140,760,1910,2665,275,9280,565
2020-21,4,Apr-20,CCG,01V,NHS SOUTHPORT AND FORMBY CCG,Y62,NORTH WEST COMMISSIONING REGION,40,410,450,1130,655,870,1525,55,6175,250,40,410,450,1215,725,1005,1730,95,7430,325
2020-21,4,Apr-20,CCG,01W,NHS STOCKPORT CCG,Y62,NORTH WEST COMMISSIONING REGION,140,930,1070,2570,2020,2125,4145,255,14375,745,140,930,1070,2985,2040,2405,4445,265,15480,830
2020-21,4,Apr-20,CCG,01X,NHS ST HELENS CCG,Y62,NORTH WEST COMMISSIONING REGION,100,425,520,1625,940,1470,2410,130,8725,355,100,425,525,1970,955,1750,2705,140,9560,415
2020-21,4,Apr-20,CCG,01Y,NHS TAMESIDE AND GLOSSOP CCG,Y62,NORTH WEST COMMISSIONING REGION,110,655,765,2135,1960,1510,3475,320,11085,675,115,655,765,2660,2000,1725,3725,330,12825,800
2020-21,4,Apr-20,CCG,02A,NHS TRAFFORD CCG,Y62,NORTH WEST COMMISSIONING REGION,110,610,725,1760,1265,1295,2565,165,9295,495,115,610,725,2205,1290,1535,2830,190,10380,590
2020-21,4,Apr-20,CCG,02E,NHS WARRINGTON CCG,Y62,NORTH WEST COMMISSIONING REGION,75,455,530,1480,1355,1090,2445,270,11900,640,100,455,555,1750,1355,1265,2625,275,12995,735
2020-21,4,Apr-20,CCG,02G,NHS WEST LANCASHIRE CCG,Y62,NORTH WEST COMMISSIONING REGION,65,400,465,885,635,750,1385,75,5105,245,65,400,465,975,635,800,1435,75,5775,295
2020-21,4,Apr-20,CCG,02H,NHS WIGAN BOROUGH CCG,Y62,NORTH WEST COMMISSIONING REGION,105,760,865,2420,1570,2175,3750,310,12950,755,130,760,890,2845,1600,2705,4305,350,14485,855
2020-21,4,Apr-20,CCG,02M,NHS FYLDE AND WYRE CCG,Y62,NORTH WEST COMMISSIONING REGION,65,685,750,1135,945,855,1800,110,7335,380,65,690,755,1315,960,965,1920,110,7775,405
2020-21,4,Apr-20,CCG,02P,NHS BARNSLEY CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,160,755,915,1965,2095,2240,4340,390,14470,865,165,755,915,2495,2105,2580,4685,400,16380,940
2020-21,4,Apr-20,CCG,02Q,NHS BASSETLAW CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,60,385,445,620,740,695,1435,125,3475,190,65,385,450,730,755,825,1575,145,3875,230
2020-21,4,Apr-20,CCG,02T,NHS CALDERDALE CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,85,595,680,1580,725,1445,2170,80,5720,295,85,595,680,1805,730,1465,2200,80,5945,305
2020-21,4,Apr-20,CCG,02X,NHS DONCASTER CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,245,1075,1315,2015,2170,2095,4265,360,9500,545,300,1075,1375,2530,2180,2395,4575,395,10390,605
2020-21,4,Apr-20,CCG,02Y,NHS EAST RIDING OF YORKSHIRE CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,160,1455,1620,1750,1560,2485,4045,140,11245,505,165,1455,1620,2055,1615,2755,4370,160,12940,580
2020-21,4,Apr-20,CCG,03A,NHS GREATER HUDDERSFIELD CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,110,755,870,1490,855,1310,2165,125,6810,365,115,755,870,1750,865,1375,2240,125,7190,375
2020-21,4,Apr-20,CCG,03F,NHS HULL CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,135,1070,1205,1645,1245,1780,3025,180,7915,495,135,1070,1205,2065,1255,2385,3640,235,10605,680
2020-21,4,Apr-20,CCG,03H,NHS NORTH EAST LINCOLNSHIRE CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,90,780,865,970,895,1420,2315,145,7435,500,90,780,870,1225,1030,1485,2515,155,7890,545
2020-21,4,Apr-20,CCG,03J,NHS NORTH KIRKLEES CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,100,505,605,1090,940,1550,2490,155,6320,325,100,505,605,1565,1075,1620,2695,180,6970,380
2020-21,4,Apr-20,CCG,03K,NHS NORTH LINCOLNSHIRE CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,100,725,825,1165,960,1545,2500,145,7905,510,105,725,830,1405,990,1580,2570,155,8385,565
2020-21,4,Apr-20,CCG,03L,NHS ROTHERHAM CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,140,955,1100,2135,2090,2010,4100,495,12805,1180,180,955,1140,2565,2090,2450,4540,520,14715,1310
2020-21,4,Apr-20,CCG,03N,NHS SHEFFIELD CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,230,1860,2090,3680,7210,5400,12610,820,30095,1910,285,1860,2145,5275,7245,6490,13735,855,37450,2375
2020-21,4,Apr-20,CCG,03Q,NHS VALE OF YORK CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,115,1320,1435,2265,1975,3750,5730,235,15710,445,120,1320,1440,2935,2020,4475,6490,240,18200,480
2020-21,4,Apr-20,CCG,03R,NHS WAKEFIELD CCG,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,160,1370,1530,2205,2130,3300,5425,315,13890,625,160,1370,1530,2995,2420,3410,5830,365,15025,700
2020-21,4,Apr-20,CCG,03W,NHS EAST LEICESTERSHIRE AND RUTLAND CCG,Y60,MIDLANDS COMMISSIONING REGION,165,1100,1265,2080,1795,1875,3670,260,11770,635,175,1100,1275,2375,1855,2105,3965,285,13090,780
2020-21,4,Apr-20,CCG,04C,NHS LEICESTER CITY CCG,Y60,MIDLANDS COMMISSIONING REGION,135,785,920,2665,1805,2115,3920,440,10720,860,145,785,930,3170,1890,2475,4360,515,12485,1140
2020-21,4,Apr-20,CCG,04F,NHS MILTON KEYNES CCG,Y61,EAST OF ENGLAND COMMISSIONING REGION,125,660,785,1630,1395,2740,4140,175,7180,330,125,660,790,2135,1600,3295,4895,210,11625,380
2020-21,4,Apr-20,CCG,04V,NHS WEST LEICESTERSHIRE CCG,Y60,MIDLANDS COMMISSIONING REGION,185,1110,1295,2550,1925,2255,4180,345,14025,695,195,1110,1305,2915,2010,2660,4670,395,16015,920
2020-21,4,Apr-20,CCG,04Y,NHS CANNOCK CHASE CCG,Y60,MIDLANDS COMMISSIONING REGION,50,550,600,795,1005,680,1690,130,4020,175,50,550,600,1045,1080,790,1865,135,4500,195
2020-21,4,Apr-20,CCG,05A,NHS COVENTRY AND RUGBY CCG,Y60,MIDLANDS COMMISSIONING REGION,190,2015,2210,3860,3115,4290,7405,640,21380,1115,190,2015,2210,4575,3305,4945,8250,765,24360,1445
2020-21,4,Apr-20,CCG,05C,NHS DUDLEY CCG,Y60,MIDLANDS COMMISSIONING REGION,130,985,1115,1820,1975,2605,4580,305,14775,575,130,985,1115,2190,2085,2840,4925,335,15590,625
2020-21,4,Apr-20,CCG,05D,NHS EAST STAFFORDSHIRE CCG,Y60,MIDLANDS COMMISSIONING REGION,60,390,450,1075,625,925,1545,10,4815,25,65,390,460,1295,640,1315,1955,10,5360,25
2020-21,4,Apr-20,CCG,05G,NHS NORTH STAFFORDSHIRE CCG,Y60,MIDLANDS COMMISSIONING REGION,110,870,980,1690,1020,1290,2310,150,6650,390,120,870,995,1990,1060,1450,2515,170,7410,505
2020-21,4,Apr-20,CCG,05H,NHS WARWICKSHIRE NORTH CCG,Y60,MIDLANDS COMMISSIONING REGION,105,565,670,1330,1075,1630,2705,200,8190,435,110,565,675,1600,1115,1900,3015,240,9210,515
2020-21,4,Apr-20,CCG,05L,NHS SANDWELL AND WEST BIRMINGHAM CCG,Y60,MIDLANDS COMMISSIONING REGION,205,950,1155,3490,4240,3665,7905,825,19925,1535,210,950,1155,4700,5055,4110,9165,935,23535,1695
2020-21,4,Apr-20,CCG,05N,NHS SHROPSHIRE CCG,Y60,MIDLANDS COMMISSIONING REGION,95,1225,1320,1975,2565,2915,5485,180,11475,460,120,1225,1345,2245,2630,3110,5735,190,11830,480
2020-21,4,Apr-20,CCG,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,Y60,MIDLANDS COMMISSIONING REGION,275,460,735,1325,1115,1195,2315,110,7250,245,280,460,740,1625,1210,1450,2660,120,8220,260
2020-21,4,Apr-20,CCG,05R,NHS SOUTH WARWICKSHIRE CCG,Y60,MIDLANDS COMMISSIONING REGION,120,1130,1255,1670,1590,1705,3290,255,9385,555,120,1135,1255,2020,1630,1945,3575,275,10065,640
2020-21,4,Apr-20,CCG,05V,NHS STAFFORD AND SURROUNDS CCG,Y60,MIDLANDS COMMISSIONING REGION,70,750,820,905,940,835,1775,90,4580,215,75,750,825,1100,950,935,1885,100,4890,230
